tanggal_nabung,nama_goal,target_nominal,nominal_nabung,total_terkumpul,sisa_target
3/17/2022,Kursus Bootcamp IT/Data Science,7390000,30000,2680000,4710000
1/7/2020,Nabung Bayar Utang/Pinjol,1520000,10000,20000,1500000
11/8/2022,Modal Nikah/Tunangan,87840000,220000,26260000,61580000
11/12/2020,Beli Motor Bekas,8740000,210000,7430000,1310000
2/19/2022,Beli Kamera Analog/Mirrorless,7430000,60000,4260000,3170000
4/1/2022,Beli iPad/Tablet Nugas,10820000,20000,4750000,6070000
1/13/2024,Modal Nikah/Tunangan,97510000,210000,36860000,60650000
10/16/2020,Beli Motor Bekas,8740000,10000,3920000,4820000
10/26/2021,Modal Nikah/Tunangan,73480000,2000000,12340000,61140000
11/14/2020,Bayar Kosan Tahunan,8200000,190000,2690000,5510000
2/13/2021,Beli iPad/Tablet Nugas,6240000,10000,4980000,1260000
6/5/2021,DP Motor Baru,3440000,200000,200000,3240000
9/9/2020,Rakit PC Gaming,14090000,20000,100000,13990000
3/8/2021,Kursus Bootcamp IT/Data Science,6750000,100000,1980000,4770000
3/15/2021,Beli Laptop Skripsi,8030000,70000,3350000,4680000
6/21/2025,Modal Nikah/Tunangan,97510000,80000,73500000,24010000
5/29/2022,Modal Nikah/Tunangan,93000000,1500000,12380000,80620000
12/6/2020,Tiket DWP / Pestapora,1660000,90000,90000,1570000
3/6/2022,Kursus Bootcamp IT/Data Science,7900000,40000,5390000,2510000
5/28/2024,Modal Nikah/Tunangan,73480000,140000,42190000,31290000
11/10/2020,Upgrade HP Baru,11520000,30000,6180000,5340000
12/21/2020,Beli Meja Belajar Lipat,370000,160000,330000,40000
10/28/2021,Modal Nikah/Tunangan,73480000,100000,12440000,61040000
10/19/2022,Modal Nikah/Tunangan,97510000,80000,8900000,88610000
2/20/2022,Sewa Server/VPS Tahunan,2240000,40000,710000,1530000
9/29/2020,Rakit PC Gaming,18050000,80000,6140000,11910000
5/12/2021,Beli Action Figure/Gunpla,2760000,,2270000,490000
5/12/2024,Modal Nikah/Tunangan,97510000,240000,15730000,81780000
10/22/2021,Upgrade RAM & SSD,1060000,140000,990000,70000
5/20/2024,Modal Nikah/Tunangan,97510000,190000,15950000,81560000
8/28/2024,Modal Nikah/Tunangan,89990000,100000,67310000,22680000
8/13/2020,Rakit PC Gaming,24690000,,3240000,21450000
11/11/2020,Beli Emas Antam,8200000,60000,8200000,0
5/13/2022,Liburan ke Bali/Jogja,6810000,40000,6810000,0
6/9/2021,Dekor Kamar Estetik,230000,180000,230000,0
2/16/2020,Outfit Wisuda/Kondangan,640000,10000,640000,0
10/4/2024,Modal Nikah/Tunangan,97510000,160000,57560000,39950000
10/1/2021,Tiket DWP / Pestapora,1110000,10000,530000,580000
7/13/2021,Tas Ransel Eiger/Consina,830000,90000,250000,580000
7/8/2020,Bayar UKT Semester Depan,2200000,100000,160000,2040000
5/7/2022,Modal Usaha Thrift/F&B,11710000,90000,4320000,7390000
7/10/2020,Beli Game Steam/PS,1110000,30000,260000,850000
5/29/2021,Bayar Kosan Tahunan,7820000,240000,7260000,560000
11/10/2021,Bayar UKT Semester Depan,7500000,10000,2000000,5500000
12/12/2020,Beli iPad/Tablet Nugas,6240000,2000000,2070000,4170000
12/13/2020,Beli iPad/Tablet Nugas,11250000,60000,6090000,5160000
2/4/2022,Beli Hewan Qurban,2560000,10000,1690000,870000
1/23/2021,Modal Usaha Thrift/F&B,14340000,290000,14340000,0
2/6/2021,Beli Emas Antam,4700000,40000,4540000,160000
6/1/2024,Modal Nikah/Tunangan,97510000,200000,18160000,79350000
8/16/2020,Outfit Wisuda/Kondangan,910000,20000,520000,390000
10/10/2020,Beli Motor Bekas,14020000,660000,14020000,0
12/10/2024,Modal Nikah/Tunangan,89990000,50000,48960000,41030000
2/26/2021,Upgrade HP Baru,10890000,30000,7060000,3830000
7/25/2020,Modal Nikah/Tunangan,15350000,280000,7700000,7650000
12/29/2021,,13260000,1700000,12970000,290000
8/7/2020,Outfit Wisuda/Kondangan,440000,20000,20000,420000
1/19/2021,Sewa Server/VPS Tahunan,1780000,280000,410000,1370000
11/24/2020,Beli iPad/Tablet Nugas,9770000,270000,2610000,7160000
11/11/2020,Dana Darurat,15920000,50000,11920000,4000000
1/29/2022,Kursus Bootcamp IT/Data Science,7900000,60000,3410000,4490000
4/15/2022,Beli Motor Bekas,8770000,30000,1690000,7080000
1/12/2022,Beli Motor Bekas,8340000,70000,6350000,1990000
6/23/2020,Beli Sepatu Sneakers/Running,2420000,80000,2310000,110000
11/8/2021,Modal Skripsi & Jilid,1080000,90000,140000,940000
3/7/2022,Langganan Netflix/Spotify Tahunan,480000,70000,90000,390000
3/17/2022,Dana Darurat,7640000,60000,1150000,6490000
2/27/2020,Beli Motor Bekas,12800000,100000,2830000,9970000
7/18/2020,Modal Usaha Thrift/F&B,9220000,300000,5270000,3950000
6/1/2022,Beli Laptop Skripsi,10450000,10000,6020000,4430000
2/14/2021,Beli iPad/Tablet Nugas,10440000,90000,160000,10280000
4/3/2022,DP Motor Baru,7430000,30000,900000,6530000
5/18/2024,Modal Nikah/Tunangan,65260000,,31690000,33570000
9/13/2021,Tiket DWP / Pestapora,1110000,10000,290000,820000
3/1/2022,Bayar Kosan Tahunan,13230000,70000,12930000,300000
5/31/2021,Bayar Kosan Tahunan,7820000,250000,7510000,310000
1/17/2021,Beli iPad/Tablet Nugas,6240000,400000,4460000,1780000
1/10/2021,Beli Motor Bekas,7110000,60000,5500000,1610000
7/19/2020,Upgrade HP Baru,7670000,100000,1020000,6650000
5/17/2024,Modal Nikah/Tunangan,87840000,280000,35790000,52050000
5/16/2020,,1820000,20000,260000,1560000
2/22/2021,,1120000,180000,790000,330000
10/5/2020,Bayar Kosan Tahunan,13940000,10000,2190000,11750000
7/14/2021,Modal Skripsi & Jilid,2150000,570000,2150000,0
9/4/2021,Modal Nikah/Tunangan,87840000,60000,60000,87780000
2/20/2022,,7900000,,4860000,3040000
2/18/2024,Modal Nikah/Tunangan,45570000,,30480000,15090000
12/13/2020,Beli Motor Bekas,7110000,40000,3430000,3680000
4/21/2021,Beli Action Figure/Gunpla,2760000,220000,1760000,1000000
1/14/2022,Beli Motor Bekas,8340000,260000,6610000,1730000
9/10/2021,Beli Kamera Analog/Mirrorless,5830000,40000,1140000,4690000
7/16/2020,Dana Darurat,15920000,50000,5520000,10400000
10/17/2024,Modal Nikah/Tunangan,65260000,230000,60230000,5030000
4/3/2020,Beli Emas Antam,2640000,40000,2640000,0
3/6/2022,,7430000,100000,5050000,2380000
4/20/2024,Modal Nikah/Tunangan,65260000,40000,31110000,34150000
8/8/2020,Beli Sepatu Sneakers/Running,310000,,120000,190000
7/12/2021,DP Motor Baru,3440000,250000,940000,2500000
6/1/2022,Bayar Kosan Tahunan,16660000,10000,6880000,9780000
7/18/2021,Bayar Kosan Tahunan,9010000,100000,2150000,6860000
10/3/2020,Monitor External,3990000,180000,780000,3210000
6/22/2021,Modal Nikah/Tunangan,73480000,30000,3750000,69730000
5/28/2022,Dana Darurat,7640000,20000,4380000,3260000
4/28/2022,Dana Darurat,7640000,290000,2800000,4840000
3/10/2022,Beli Motor Bekas,8340000,40000,7670000,670000
7/13/2021,Dana Darurat,9720000,800000,2880000,6840000
9/24/2020,Beli iPad/Tablet Nugas,9620000,20000,7960000,1660000
11/20/2021,Beli Kipas Angin/AC Portable,1180000,100000,480000,700000
1/24/2022,Beli Kipas Angin/AC Portable,1410000,70000,330000,1080000
7/5/2020,Beli Laptop Skripsi,6570000,300000,300000,6270000
1/12/2021,Beli Sepatu Sneakers/Running,2040000,90000,500000,1540000
10/15/2020,Dana Darurat,15920000,90000,10050000,5870000
5/1/2021,Tas Ransel Eiger/Consina,830000,50000,450000,380000
7/15/2020,Beli Hewan Qurban,4820000,40000,4760000,60000
3/15/2022,Beli Kamera Analog/Mirrorless,4740000,70000,3660000,1080000
11/27/2020,Monitor External,2870000,160000,1220000,1650000
10/15/2021,Modif Motor/Ganti Knalpot,2200000,30000,400000,1800000
1/13/2022,Sewa Server/VPS Tahunan,980000,80000,270000,710000
5/29/2021,Upgrade HP Baru,13540000,150000,4310000,9230000
12/7/2020,Beli Raket Badminton/Sepatu Futsal,820000,20000,100000,720000
5/12/2022,Beli Motor Bekas,8770000,300000,4470000,4300000
6/9/2021,Rakit PC Gaming,21100000,600000,20190000,910000
2/7/2022,Tiket DWP / Pestapora,1120000,100000,100000,1020000
11/5/2024,Modal Nikah/Tunangan,45570000,70000,42710000,2860000
6/9/2020,Beli Motor Bekas,14020000,90000,4040000,9980000
5/15/2022,,14870000,50000,4950000,9920000
11/11/2020,Bayar Kosan Tahunan,13940000,270000,3370000,10570000
3/6/2022,Servis Turun Mesin,2630000,150000,1040000,1590000
10/13/2022,Modal Nikah/Tunangan,24510000,100000,18160000,6350000
6/23/2022,Upgrade HP Baru,12260000,20000,8160000,4100000
2/22/2021,Bayar Kosan Tahunan,13940000,20000,9650000,4290000
7/7/2024,Modal Nikah/Tunangan,93000000,70000,63650000,29350000
1/15/2022,Beli Sepeda Lipat/Fixie,2320000,500000,710000,1610000
8/12/2020,Beli Motor Bekas,14020000,1700000,10130000,3890000
4/16/2021,Rakit PC Gaming,24690000,90000,17790000,6900000
7/31/2021,Tiket DWP / Pestapora,2290000,10000,1770000,520000
11/14/2020,Kado Ultah Pacar,1240000,100000,1100000,140000
4/10/2021,Beli Sepatu Sneakers/Running,1350000,90000,380000,970000
2/24/2022,Upgrade HP Baru,12260000,30000,1300000,10960000
2/25/2022,Beli Kamera Analog/Mirrorless,7780000,110000,5480000,2300000
3/4/2022,Staycation Bareng Temen,800000,60000,60000,740000
12/13/2021,Beli Helm Fullface/Cargloss,580000,90000,360000,220000
10/21/2021,Kado Ultah Pacar,1790000,50000,260000,1530000
4/10/2021,Modal Nikah/Tunangan,15510000,40000,1030000,14480000
1/22/2022,Beli Kamera Analog/Mirrorless,2150000,180000,2010000,140000
4/19/2022,Modal Usaha Thrift/F&B,11710000,300000,1880000,9830000
2/19/2020,Outfit Wisuda/Kondangan,1390000,50000,1390000,0
9/24/2021,DP Motor Baru,3430000,60000,1690000,1740000
3/16/2024,Modal Nikah/Tunangan,73480000,20000,72730000,750000
2/6/2021,Liburan ke Bali/Jogja,6400000,260000,450000,5950000
3/4/2021,Bayar Kosan Tahunan,7820000,80000,4880000,2940000
8/6/2021,Bayar Kosan Tahunan,9010000,70000,2610000,6400000
12/9/2020,Dana Darurat,15920000,40000,12430000,3490000
9/24/2020,Beli Sepatu Sneakers/Running,530000,100000,450000,80000
5/16/2021,Beli Sepeda Lipat/Fixie,2280000,,1440000,840000
6/15/2021,Beli Parfum Lokal,410000,300000,390000,20000
12/13/2021,Bayar Kosan Tahunan,13230000,10000,9790000,3440000
7/26/2022,Liburan ke Bali/Jogja,6050000,60000,6050000,0
5/10/2022,Liburan ke Bali/Jogja,6810000,,4770000,2040000
12/30/2020,Beli TWS/Earphone,2130000,170000,660000,1470000
11/16/2020,,410000,40000,230000,180000
11/12/2021,Modal Nikah/Tunangan,87840000,200000,5750000,82090000
4/12/2020,Uang Kondangan Temen,500000,30000,410000,90000
3/11/2022,Beli Hewan Qurban,2860000,40000,300000,2560000
1/23/2022,Modal Nikah/Tunangan,97510000,270000,600000,96910000
4/19/2022,Beli Hewan Qurban,3700000,,3700000,0
8/18/2024,Modal Nikah/Tunangan,93000000,,65380000,27620000
5/14/2020,Kursus Bootcamp IT/Data Science,7180000,80000,830000,6350000
4/23/2022,Beli Hewan Qurban,4020000,50000,3820000,200000
2/2/2022,Upgrade HP Baru,12260000,90000,790000,11470000
2/12/2022,Beli Hewan Qurban,4050000,20000,3700000,350000
2/20/2022,Modif Motor/Ganti Knalpot,2810000,190000,1440000,1370000
10/20/2020,DP Motor Baru,5430000,10000,1540000,3890000
5/3/2022,Modal Nikah/Tunangan,32780000,500000,6110000,26670000
8/17/2021,Tiket Konser K-Pop/Lokal,4620000,50000,190000,4430000
9/28/2020,Beli Motor Bekas,14020000,40000,13230000,790000
5/15/2021,,3680000,,3680000,0
5/9/2021,Beli iPad/Tablet Nugas,7610000,900000,2510000,5100000
2/3/2021,Tiket DWP / Pestapora,1660000,10000,1660000,0
5/17/2022,DP Motor Baru,7430000,20000,3890000,3540000
3/6/2022,Upgrade HP Baru,12260000,150000,1980000,10280000
7/25/2021,Beli Sepeda Lipat/Fixie,2440000,-100000,1980000,460000
8/8/2020,Uang Kondangan Temen,300000,180000,300000,0
5/19/2022,,17290000,230000,16240000,1050000
2/13/2020,Outfit Wisuda/Kondangan,1390000,10000,1340000,50000
11/1/2024,Modal Nikah/Tunangan,73480000,50000,60980000,12500000
9/9/2020,Beli Sepatu Sneakers/Running,1860000,100000,1440000,420000
2/8/2022,Servis Turun Mesin,2630000,,400000,2230000
7/11/2021,Liburan ke Bali/Jogja,2370000,30000,90000,2280000
8/12/2022,Modal Nikah/Tunangan,93000000,140000,17990000,75010000
2/8/2022,Beli Kipas Angin/AC Portable,1490000,60000,60000,1430000
5/4/2022,Beli Hewan Qurban,4020000,,3870000,150000
3/4/2022,Beli Helm Fullface/Cargloss,1170000,50000,650000,520000
8/1/2020,Upgrade HP Baru,8570000,,7760000,810000
4/27/2021,Beli Mechanical Keyboard,1590000,600000,1200000,390000
4/25/2022,Dana Darurat,7500000,60000,4270000,3230000
10/16/2021,Beli Hewan Qurban,4460000,120000,520000,3940000
6/20/2021,Beli Parfum Lokal,410000,10000,410000,0
7/1/2021,,7040000,500000,2360000,4680000
8/20/2021,Dana Darurat,19490000,100000,11330000,8160000
1/7/2022,Rakit PC Gaming,21710000,1100000,14320000,7390000
5/11/2022,Liburan ke Bali/Jogja,5060000,320000,5060000,0
5/9/2022,Beli Laptop Skripsi,6540000,100000,5990000,550000
5/9/2022,,4850000,260000,3990000,860000
9/7/2021,Rakit PC Gaming,21710000,170000,9280000,12430000
5/8/2021,Beli Mechanical Keyboard,1590000,50000,1500000,90000
10/22/2021,Tas Ransel Eiger/Consina,560000,10000,290000,270000
4/24/2020,Liburan ke Bali/Jogja,4680000,170000,2920000,1760000
1/14/2022,Liburan ke Bali/Jogja,4860000,220000,310000,4550000
2/6/2024,Modal Nikah/Tunangan,85960000,70000,43450000,42510000
6/26/2024,,89990000,50000,65200000,24790000
1/3/2024,Modal Nikah/Tunangan,85780000,30000,66540000,19240000
6/19/2022,Beli iPad/Tablet Nugas,5300000,10000,2860000,2440000
4/22/2022,Bayar Kosan Tahunan,15130000,100000,1590000,13540000
10/9/2020,Kado Hari Ibu/Ultah Ortu,2010000,210000,850000,1160000
3/27/2022,Beli Mechanical Keyboard,2510000,500000,700000,1810000
3/23/2022,Upgrade HP Baru,12260000,20000,2150000,10110000
9/12/2022,Modal Nikah/Tunangan,89990000,10000,11840000,78150000
4/15/2022,Beli Hewan Qurban,2980000,1540000,2980000,0
5/18/2020,Perpanjang Pajak Kendaraan,490000,10000,480000,10000
2/8/2022,Langganan Gym,2440000,80000,2340000,100000
12/20/2020,Beli Motor Bekas,12660000,1600000,7320000,5340000
7/28/2020,Beli Kamera Analog/Mirrorless,4190000,,890000,3300000
11/25/2020,Dana Darurat,3350000,80000,2690000,660000
12/17/2021,Modal Usaha Thrift/F&B,2160000,600000,1820000,340000
7/26/2024,Modal Nikah/Tunangan,97510000,1100000,55440000,42070000
3/8/2022,Upgrade HP Baru,6210000,99999999,2190000,4020000
2/28/2022,DP Motor Baru,4460000,400000,4330000,130000
1/11/2021,Bayar Kosan Tahunan,13940000,130000,7700000,6240000
6/11/2021,,15510000,200000,6080000,9430000
1/7/2022,Bayar UKT Semester Depan,3950000,,70000,3880000
7/24/2020,Beli Hewan Qurban,3660000,40000,3660000,0
3/30/2021,Kursus Bootcamp IT/Data Science,7350000,90000,4400000,2950000
5/31/2020,Beli Emas Antam,5330000,40000,4090000,1240000
3/5/2024,Modal Nikah/Tunangan,85780000,,72980000,12800000
2/3/2021,Bayar Kosan Tahunan,11230000,20000,11230000,0
4/3/2022,Beli iPad/Tablet Nugas,8520000,10000,7710000,810000
6/5/2020,Beli Emas Antam,5330000,180000,4270000,1060000
2/27/2022,,3180000,820000,3180000,0
3/15/2022,,480000,30000,170000,310000
2/20/2020,Tiket Konser K-Pop/Lokal,4620000,370000,4620000,0
2/5/2024,Modal Nikah/Tunangan,93000000,300000,27550000,65450000
4/29/2022,Modal Nikah/Tunangan,93000000,2000000,9960000,83040000
4/3/2024,Modal Nikah/Tunangan,85960000,70000,66700000,19260000
2/19/2020,Uang Kondangan Temen,120000,30000,120000,0
3/28/2022,Kursus Bootcamp IT/Data Science,7900000,260000,7510000,390000
1/27/2022,Modal Nikah/Tunangan,45570000,99999999,2580000,42990000
11/10/2020,Kado Ultah Pacar,1000000,70000,100000,900000
4/8/2022,Staycation Bareng Temen,1080000,70000,630000,450000
5/24/2022,Beli iPad/Tablet Nugas,10820000,30000,9610000,1210000
2/2/2023,Modal Nikah/Tunangan,87840000,140000,87330000,510000
11/10/2020,Beli Meja Belajar Lipat,380000,110000,310000,70000
3/1/2022,Bayar UKT Semester Depan,6750000,10000,4840000,1910000
2/2/2022,Beli Laptop Skripsi,6540000,,670000,5870000
9/14/2022,Modal Nikah/Tunangan,73480000,290000,29450000,44030000
12/4/2021,Beli Helm Fullface/Cargloss,580000,40000,40000,540000
5/8/2020,Beli Emas Antam,8200000,30000,30000,8170000
12/11/2020,Nabung Bayar Utang/Pinjol,3260000,100000,2800000,460000
11/13/2021,Beli Emas Antam,9690000,40000,100000,9590000
7/1/2022,Modal Nikah/Tunangan,97510000,99999999,5710000,91800000
12/30/2021,,7780000,40000,2100000,5680000
11/29/2020,Modif Motor/Ganti Knalpot,2890000,,2750000,140000
6/21/2022,Dana Darurat,7640000,230000,6540000,1100000
3/16/2022,Modal Nikah/Tunangan,89990000,290000,990000,89000000
8/7/2020,Beli Magic Com & Dispenser,470000,40000,340000,130000
6/1/2022,Modal Usaha Thrift/F&B,11710000,40000,4790000,6920000
1/12/2022,Tiket Konser K-Pop/Lokal,4060000,130000,500000,3560000
8/11/2024,Modal Nikah/Tunangan,65260000,30000,57510000,7750000
4/1/2022,Modal Skripsi & Jilid,1630000,500000,820000,810000
10/12/2020,Traktir Temen Sidang/Wisuda,370000,170000,240000,130000
10/2/2020,Kado Hari Ibu/Ultah Ortu,2010000,,640000,1370000
2/22/2022,Modal Nikah/Tunangan,24510000,60000,3160000,21350000
9/16/2024,Modal Nikah/Tunangan,85960000,100000,55730000,30230000
2/12/2022,DP Motor Baru,6140000,100000,1920000,4220000
9/25/2020,Dana Darurat,15920000,150000,9000000,6920000
10/16/2021,Liburan ke Bali/Jogja,3160000,,2250000,910000
2/13/2022,Beli iPad/Tablet Nugas,8240000,260000,3680000,4560000
10/10/2020,Rakit PC Gaming,21100000,60000,1300000,19800000
5/22/2022,Beli Motor Bekas,9460000,1030000,9460000,0
10/6/2022,Modal Nikah/Tunangan,85960000,150000,37280000,48680000
9/30/2020,Beli Motor Bekas,6720000,260000,4240000,2480000
2/7/2022,Langganan Gym,2440000,,2260000,180000
11/2/2020,Langganan Gym,1090000,180000,1090000,0
3/3/2022,Beli Laptop Skripsi,7920000,280000,6560000,1360000
10/19/2021,Modal Nikah/Tunangan,73480000,80000,9870000,63610000
1/20/2022,Beli iPad/Tablet Nugas,8240000,90000,1430000,6810000
4/17/2022,Modal Usaha Thrift/F&B,8720000,30000,1450000,7270000
12/13/2020,DP Motor Baru,5430000,170000,4350000,1080000
11/30/2021,DP Motor Baru,6820000,70000,6540000,280000
3/26/2022,Dana Darurat,12120000,40000,7260000,4860000
5/4/2022,Modal Usaha Thrift/F&B,11710000,10000,4060000,7650000
6/12/2021,Beli Hewan Qurban,4960000,160000,420000,4540000
7/9/2020,,380000,170000,240000,140000
6/11/2021,Beli Kamera Analog/Mirrorless,4350000,40000,3800000,550000
10/28/2022,Modal Nikah/Tunangan,32780000,140000,19930000,12850000
10/25/2024,Modal Nikah/Tunangan,85960000,30000,59250000,26710000
12/20/2020,Dekor Kamar Estetik,630000,,630000,0
9/27/2022,Modal Nikah/Tunangan,32780000,100000,17890000,14890000
3/9/2022,DP Motor Baru,6140000,20000,2560000,3580000
3/29/2020,Beli Hewan Qurban,2730000,70000,1760000,970000
3/11/2024,,65260000,50000,30430000,34830000
3/20/2022,Liburan ke Bali/Jogja,6050000,60000,2210000,3840000
5/25/2022,Beli Kamera Analog/Mirrorless,6590000,270000,4760000,1830000
2/12/2021,Beli TWS/Earphone,2130000,80000,1170000,960000
8/5/2022,Modal Nikah/Tunangan,85780000,10000,33490000,52290000
2/17/2021,Beli iPad/Tablet Nugas,7610000,60000,4050000,3560000
2/13/2022,Beli Kipas Angin/AC Portable,400000,,140000,260000
7/28/2022,Modal Usaha Thrift/F&B,11710000,30000,11700000,10000
8/5/2022,Modal Nikah/Tunangan,32780000,280000,12050000,20730000
12/12/2020,Beli Motor Bekas,12660000,10000,5570000,7090000
1/9/2021,Bayar Kosan Tahunan,13240000,100000,13000000,240000
3/6/2022,Modal Skripsi & Jilid,2060000,20000,20000,2040000
2/22/2022,Naik Gunung (Semeru/Rinjani),1210000,70000,390000,820000
3/8/2023,,97510000,70000,91740000,5770000
6/6/2020,,430000,-100000,220000,210000
6/10/2022,Modal Nikah/Tunangan,73480000,270000,22380000,51100000
8/15/2020,Tiket Konser K-Pop/Lokal,2130000,50000,940000,1190000
3/8/2022,Langganan Netflix/Spotify Tahunan,480000,20000,110000,370000
3/10/2021,Beli iPad/Tablet Nugas,10440000,130000,4300000,6140000
12/20/2025,Modal Nikah/Tunangan,87840000,70000,83330000,4510000
3/19/2022,Modal Usaha Thrift/F&B,8720000,60000,720000,8000000
4/10/2020,Beli Motor Bekas,12800000,10000,5010000,7790000
6/14/2022,Rakit PC Gaming,17300000,230000,13130000,4170000
9/2/2021,Beli Emas Antam,7830000,190000,5370000,2460000
10/6/2021,Beli Motor Bekas,8340000,50000,50000,8290000
3/5/2022,DP Motor Baru,4930000,10000,3520000,1410000
3/14/2021,Beli iPad/Tablet Nugas,9770000,40000,7070000,2700000
4/2/2020,Beli Motor Bekas,9820000,200000,1240000,8580000
1/2/2024,Modal Nikah/Tunangan,85960000,2000000,63260000,22700000
11/28/2025,Modal Nikah/Tunangan,87840000,250000,82020000,5820000
11/5/2020,Modal Usaha Thrift/F&B,14340000,170000,7220000,7120000
8/23/2022,Modal Nikah/Tunangan,85780000,,34460000,51320000
2/7/2020,Outfit Wisuda/Kondangan,1390000,300000,1330000,60000
4/5/2022,Beli iPad/Tablet Nugas,7810000,170000,4950000,2860000
6/12/2022,Modal Nikah/Tunangan,93000000,100000,14000000,79000000
3/5/2022,,7430000,190000,190000,7240000
7/29/2020,Dana Darurat,11370000,700000,3700000,7670000
9/29/2021,,4620000,10000,2320000,2300000
1/30/2020,Beli Sepeda Lipat/Fixie,3410000,30000,1100000,2310000
2/15/2022,Liburan ke Bali/Jogja,4680000,110000,390000,4290000
11/9/2020,Monitor External,2870000,40000,60000,2810000
10/20/2020,Nabung Bayar Utang/Pinjol,4550000,70000,2600000,1950000
3/23/2024,Modal Nikah/Tunangan,87840000,,34030000,53810000
1/6/2022,Modal Nikah/Tunangan,85960000,60000,21870000,64090000
2/11/2022,Ganti LCD HP,760000,660000,760000,0
11/4/2021,DP Motor Baru,6820000,900000,6060000,760000
3/30/2023,Modal Nikah/Tunangan,97510000,50000,94960000,2550000
9/18/2025,Modal Nikah/Tunangan,97510000,800000,82460000,15050000
3/12/2022,Beli Hewan Qurban,2860000,10000,310000,2550000
9/4/2022,Beli Laptop Skripsi,14870000,260000,11940000,2930000
7/14/2021,Servis Turun Mesin,940000,280000,820000,120000
9/4/2020,Rakit PC Gaming,18050000,80000,4050000,14000000
1/29/2022,Modal Nikah/Tunangan,97510000,180000,780000,96730000
8/25/2024,Modal Nikah/Tunangan,87840000,800000,44460000,43380000
3/11/2022,Staycation Bareng Temen,930000,210000,340000,590000
12/4/2020,Naik Gunung (Semeru/Rinjani),1810000,280000,280000,1530000
8/4/2020,,11790000,30000,2740000,9050000
9/28/2025,Modal Nikah/Tunangan,97510000,,82540000,14970000
7/6/2021,,10380000,700000,700000,9680000
4/7/2020,Uang Kondangan Temen,500000,20000,380000,120000
5/14/2020,DP Motor Baru,7500000,80000,120000,7380000
3/27/2022,Beli Hewan Qurban,2860000,100000,820000,2040000
7/31/2024,Modal Nikah/Tunangan,85780000,80000,57890000,27890000
10/20/2020,Beli Sepeda Lipat/Fixie,2710000,880000,2710000,0
4/8/2020,Beli Skincare/Makeup,170000,100000,170000,0
7/28/2021,Liburan ke Bali/Jogja,5960000,180000,4010000,1950000
3/12/2023,Modal Nikah/Tunangan,97510000,1800000,93540000,3970000
8/14/2020,Outfit Wisuda/Kondangan,440000,250000,320000,120000
9/27/2021,Beli Emas Antam,1730000,30000,1470000,260000
10/2/2024,Modal Nikah/Tunangan,97510000,100000,29380000,68130000
3/7/2021,Tiket DWP / Pestapora,2130000,,1490000,640000
3/18/2022,Bayar UKT Semester Depan,6750000,50000,5850000,900000
3/17/2022,Bayar Kosan Tahunan,17290000,80000,14410000,2880000
10/16/2021,Bayar Kosan Tahunan,17290000,70000,10150000,7140000
5/24/2022,Dana Darurat,13410000,100000,9890000,3520000
4/4/2022,Liburan ke Bali/Jogja,5060000,80000,2160000,2900000
1/17/2021,Beli iPad/Tablet Nugas,9770000,2000000,6320000,3450000
9/16/2020,Dana Darurat,15920000,800000,8560000,7360000
7/13/2022,Modal Nikah/Tunangan,85960000,140000,33370000,52590000
3/7/2022,Beli Game Steam/PS,760000,30000,30000,730000
8/22/2021,Beli iPad/Tablet Nugas,9500000,,6640000,2860000
9/17/2021,,3430000,50000,1530000,1900000
10/18/2022,Modal Nikah/Tunangan,93000000,290000,19590000,73410000
8/17/2022,Modal Nikah/Tunangan,97510000,300000,7910000,89600000
12/8/2020,Naik Gunung (Semeru/Rinjani),890000,100000,100000,790000
8/10/2021,Kado Hari Ibu/Ultah Ortu,2430000,30000,170000,2260000
3/5/2021,,3690000,80000,1330000,2360000
3/1/2022,Upgrade RAM & SSD,830000,10000,770000,60000
8/1/2021,Bayar Kosan Tahunan,9010000,20000,2520000,6490000
5/2/2022,,85780000,10000,28170000,57610000
2/4/2022,Beli Sepatu Sneakers/Running,1370000,10000,1270000,100000
3/28/2022,Beli iPad/Tablet Nugas,8520000,70000,7700000,820000
2/5/2020,Beli Kasur Busa/Springbed,1200000,60000,1200000,0
9/7/2024,Modal Nikah/Tunangan,97510000,80000,28680000,68830000
11/13/2020,Dana Darurat,3350000,40000,2570000,780000
5/27/2021,Rakit PC Gaming,21100000,190000,19530000,1570000
6/28/2021,Beli iPad/Tablet Nugas,10440000,130000,8860000,1580000
12/20/2021,Modal Usaha Thrift/F&B,2160000,100000,1920000,240000
7/11/2020,Upgrade HP Baru,7670000,500000,830000,6840000
7/25/2022,Modal Nikah/Tunangan,73480000,,26970000,46510000
2/16/2022,Outfit Wisuda/Kondangan,750000,30000,450000,300000
8/22/2021,Beli Motor Bekas,7730000,180000,5760000,1970000
11/23/2020,Beli iPad/Tablet Nugas,11250000,110000,4760000,6490000
4/3/2024,Modal Nikah/Tunangan,65260000,500000,52500000,12760000
2/26/2022,Ganti LCD HP,1340000,50000,940000,400000
12/20/2020,Dana Darurat,14150000,70000,6750000,7400000
3/29/2022,Beli Action Figure/Gunpla,1520000,80000,870000,650000
3/1/2022,Kado Hari Ibu/Ultah Ortu,1620000,90000,560000,1060000
1/17/2021,,1140000,830000,1140000,0
4/17/2022,Kursus Bootcamp IT/Data Science,7030000,90000,2930000,4100000
4/16/2022,Beli iPad/Tablet Nugas,8920000,210000,3380000,5540000
